name,distance,moving_time,elapsed_time,total_elevation_gain,sport_type,id,start_date_local,achievement_count,kudos_count,comment_count,photo_count,average_speed,max_speed,average_heartrate,max_heartrate,elev_high,elev_low,pr_count,data,duracao_atividade,ano,mes
9/15 😆,5.0157,2187,2231,41.8,Corrida,11676532204,2024-06-17 17:27:43+00:00,0,10,0,0,8.254800000000001,12.0528,141.1,156.0,848.3,812.2,0,17-06-2024,2187,2024,6
8/15 😷,13.560799999999999,5400,5621,68.6,Corrida,11665100716,2024-06-16 07:12:43+00:00,0,6,0,0,9.0396,17.7192,163.6,184.0,833.9,781.3,0,16-06-2024,5400,2024,6
Treinamento com peso matinal,0.0,4258,4258,0.0,Treino com peso,11660942202,2024-06-15 09:14:55+00:00,0,1,0,0,0.0,0.0,106.4,150.0,0.0,0.0,0,15-06-2024,4258,2024,6
7/15 🫣,7.9089,3412,3501,47.6,Corrida,11653451971,2024-06-14 17:24:15+00:00,1,2,0,0,8.344800000000001,15.397200000000002,150.0,182.0,846.0,812.2,0,14-06-2024,3412,2024,6
Treinamento com peso vespertino,0.0,4077,4077,0.0,Treino com peso,11646649737,2024-06-13 17:21:27+00:00,0,3,0,0,0.0,0.0,105.7,132.0,0.0,0.0,0,13-06-2024,4077,2024,6
6/15 😝,7.0131000000000006,2843,2896,62.0,Corrida,11639736713,2024-06-12 17:18:30+00:00,0,4,0,0,8.8812,13.042800000000002,158.7,186.0,846.0,786.4,0,12-06-2024,2843,2024,6
5/15 ✌🏼,6.0165,2650,2738,66.6,Corrida,11622499172,2024-06-10 17:21:56+00:00,0,3,0,0,8.172,12.1788,153.6,175.0,846.0,812.2,0,10-06-2024,2650,2024,6
4/15 🤩🔝,10.5275,4241,4409,70.4,Corrida,11610626125,2024-06-09 06:43:05+00:00,0,6,0,0,8.935200000000002,31.9068,154.4,179.0,814.3,778.1,0,09-06-2024,4241,2024,6
3/15 🫶🏼,5.707199999999999,2564,2585,17.4,Corrida,11598705288,2024-06-07 17:23:02+00:00,0,2,0,0,8.0136,14.4864,145.9,175.0,817.6,812.2,0,07-06-2024,2564,2024,6
Treinamento com peso vespertino,0.0,4507,4507,0.0,Treino com peso,11591681037,2024-06-06 17:14:51+00:00,0,0,0,0,0.0,0.0,98.4,142.0,0.0,0.0,0,06-06-2024,4507,2024,6
2/15 ✌🏼,6.0084,2640,2676,54.5,Corrida,11586943737,2024-06-05 17:21:33+00:00,0,2,0,0,8.1936,13.4496,158.2,178.0,846.0,786.4,0,05-06-2024,2640,2024,6
Treinamento com peso vespertino,0.0,4923,4923,0.0,Treino com peso,11582412700,2024-06-04 17:13:59+00:00,0,0,0,0,0.0,0.0,103.1,146.0,0.0,0.0,0,04-06-2024,4923,2024,6
1/15 🫡,6.8955,3110,3128,79.4,Corrida,11566999759,2024-06-03 18:19:09+00:00,0,5,0,0,7.9812,13.6692,146.1,180.0,864.9,788.2,0,03-06-2024,3110,2024,6
Treinamento com peso vespertino,0.0,2471,2471,0.0,Treino com peso,11566518041,2024-06-03 17:17:44+00:00,0,1,0,0,0.0,0.0,99.8,130.0,0.0,0.0,0,03-06-2024,2471,2024,6
Treinamento com peso matinal,0.0,5801,5801,0.0,Treino com peso,11566518099,2024-06-01 08:49:24+00:00,0,2,0,0,0.0,0.0,92.6,136.0,0.0,0.0,0,01-06-2024,5801,2024,6
Corrida no Polo Norte 😂,6.6945,3372,3527,59.1,Corrida,11543307206,2024-05-31 17:30:13+00:00,0,4,0,0,7.146000000000001,19.0908,148.7,178.0,837.4,802.7,0,31-05-2024,3372,2024,5
Treinamento com peso na hora do almoço,0.0,5422,5422,0.0,Treino com peso,11541052144,2024-05-30 12:02:49+00:00,0,1,0,0,0.0,0.0,90.2,128.0,0.0,0.0,0,30-05-2024,5422,2024,5
Corrida da tarde,9.022200000000002,3693,3782,87.7,Corrida,11528265564,2024-05-29 17:29:36+00:00,0,4,0,0,8.7948,14.274,156.4,182.0,864.9,786.4,0,29-05-2024,3693,2024,5
Treinamento com peso vespertino,0.0,4791,4791,0.0,Treino com peso,11523508258,2024-05-28 17:19:39+00:00,0,1,0,0,0.0,0.0,94.9,127.0,0.0,0.0,0,28-05-2024,4791,2024,5
Corrida ao entardecer,6.806,2642,2677,37.2,Corrida,11512711950,2024-05-27 18:19:33+00:00,1,6,0,0,9.2736,15.181199999999999,163.3,182.0,814.4,787.6,0,27-05-2024,2642,2024,5
Treinamento com peso vespertino,0.0,2491,2491,0.0,Treino com peso,11512711837,2024-05-27 17:17:10+00:00,0,2,0,0,0.0,0.0,105.2,134.0,0.0,0.0,0,27-05-2024,2491,2024,5
7km endorfinada,7.032,2872,2911,61.2,Corrida,11488930902,2024-05-24 17:20:24+00:00,0,7,0,0,8.8128,12.0348,157.8,181.0,845.5,786.4,0,24-05-2024,2872,2024,5
Treinamento com peso vespertino,0.0,4563,4563,0.0,Treino com peso,11488930815,2024-05-23 17:19:02+00:00,0,0,0,0,0.0,0.0,101.3,152.0,0.0,0.0,0,23-05-2024,4563,2024,5
6km 🤩🤩,6.0123,2727,2754,42.5,Corrida,11474366685,2024-05-22 17:32:43+00:00,0,6,0,0,7.938000000000001,11.394,149.2,170.0,846.0,811.7,0,22-05-2024,2727,2024,5
Treinamento com peso vespertino,0.0,4339,4339,0.0,Treino com peso,11467168541,2024-05-21 17:27:29+00:00,0,0,0,0,0.0,0.0,100.8,159.0,0.0,0.0,0,21-05-2024,4339,2024,5
De volta as pistas 🤩,3.5652,1752,1804,13.5,Corrida,11467168531,2024-05-20 18:14:52+00:00,0,5,2,0,7.3260000000000005,10.422,152.5,172.0,814.7,802.3,0,20-05-2024,1752,2024,5
Treinamento com peso vespertino,0.0,2845,2845,0.0,Treino com peso,11467168497,2024-05-20 17:17:42+00:00,0,0,0,0,0.0,0.0,93.7,118.0,0.0,0.0,0,20-05-2024,2845,2024,5
Corrida ao entardecer,1.86,1230,1230,0.0,Corrida,11467168491,2024-05-16 18:19:52+00:00,0,2,0,0,5.4432,5.4432,120.6,135.0,0.0,0.0,0,16-05-2024,1230,2024,5
Treinamento com peso vespertino,0.0,2760,2760,0.0,Treino com peso,11467168513,2024-05-16 17:33:36+00:00,0,0,0,0,0.0,0.0,94.0,127.0,0.0,0.0,0,16-05-2024,2760,2024,5
Corrida ao entardecer,3.466,2389,2828,31.4,Corrida,11420102636,2024-05-15 18:13:10+00:00,0,2,0,0,5.2236,9.709200000000001,94.0,155.0,845.1,811.9,0,15-05-2024,2389,2024,5
Treinamento com peso vespertino,0.0,2403,2403,0.0,Treino com peso,11419849701,2024-05-15 17:23:12+00:00,0,1,0,0,0.0,0.0,100.2,133.0,0.0,0.0,0,15-05-2024,2403,2024,5
Corrida da tarde,2.61,1808,1808,0.0,Corrida,11419849731,2024-05-14 17:52:10+00:00,0,1,0,0,5.1984,5.1984,121.7,128.0,0.0,0.0,0,14-05-2024,1808,2024,5
Simulador de escada vespertino,0.0,1849,1849,0.0,Simulador de escadas,11419849633,2024-05-14 17:20:36+00:00,0,1,0,0,0.0,0.0,146.5,174.0,0.0,0.0,0,14-05-2024,1849,2024,5
Treinamento com peso vespertino,0.0,4331,4331,0.0,Treino com peso,11419849823,2024-05-13 17:19:25+00:00,0,1,0,0,0.0,0.0,94.1,127.0,0.0,0.0,0,13-05-2024,4331,2024,5
Treinamento com peso vespertino,0.0,3794,3794,0.0,Treino com peso,11419849709,2024-05-09 17:14:05+00:00,0,1,0,0,0.0,0.0,92.8,127.0,0.0,0.0,0,09-05-2024,3794,2024,5
Simulador de escada ao entardecer,0.0,989,989,0.0,Simulador de escadas,11364604596,2024-05-08 18:13:37+00:00,0,3,0,0,0.0,0.0,134.1,168.0,0.0,0.0,0,08-05-2024,989,2024,5
Pedalada da tarde,0.0,959,959,0.0,Bicicleta,11364604575,2024-05-08 17:55:33+00:00,0,2,0,0,0.0,0.0,104.2,132.0,0.0,0.0,0,08-05-2024,959,2024,5
Welcome back bb,3.55,1934,1934,0.0,Corrida,11364604807,2024-05-08 17:21:29+00:00,0,3,0,0,6.6096,6.6096,130.7,163.0,0.0,0.0,0,08-05-2024,1934,2024,5
Treinamento com peso vespertino,0.0,5523,5523,0.0,Treino com peso,11360276721,2024-05-07 17:22:11+00:00,0,0,0,0,0.0,0.0,98.7,154.0,0.0,0.0,0,07-05-2024,5523,2024,5
Treinamento com peso vespertino,0.0,5971,5971,0.0,Treino com peso,11360276714,2024-05-06 17:12:50+00:00,0,0,0,0,0.0,0.0,99.9,152.0,0.0,0.0,0,06-05-2024,5971,2024,5
Caminhada matinal,4.3865,4205,4968,159.8,Caminhada,11364605200,2024-05-04 06:34:38+00:00,0,1,0,0,3.7548,36.8928,109.9,142.0,914.7,785.1,0,04-05-2024,4205,2024,5
Corrida da tarde,2.82,2113,2113,0.0,Corrida,11360276796,2024-05-03 17:48:46+00:00,0,3,0,0,4.806,4.806,109.7,138.0,0.0,0.0,0,03-05-2024,2113,2024,5
Simulador de escada vespertino,0.0,1934,1934,0.0,Simulador de escadas,11360272225,2024-05-03 17:14:52+00:00,0,0,0,0,0.0,0.0,146.8,174.0,0.0,0.0,0,03-05-2024,1934,2024,5
Treinamento com peso vespertino,0.0,7900,7900,0.0,Treino com peso,11360275236,2024-05-02 17:14:40+00:00,0,0,0,0,0.0,0.0,101.0,163.0,0.0,0.0,0,02-05-2024,7900,2024,5
Caminhada matinal,6.0768,5467,8059,174.4,Caminhada,11360281332,2024-05-01 06:29:07+00:00,0,1,0,0,4.0032000000000005,27.126,96.3,132.0,914.7,785.1,0,01-05-2024,5467,2024,5
Treinamento com peso vespertino,0.0,5730,5730,0.0,Treino com peso,11360275136,2024-04-30 17:18:31+00:00,0,0,0,0,0.0,0.0,102.4,149.0,0.0,0.0,0,30-04-2024,5730,2024,4
